date,country/CHN GrowthRate_Amount_EconomicActivity_GrossDomesticProduction,country/GBR GrowthRate_Amount_EconomicActivity_GrossDomesticProduction,country/IND GrowthRate_Amount_EconomicActivity_GrossDomesticProduction,country/LKA GrowthRate_Amount_EconomicActivity_GrossDomesticProduction,country/SGP GrowthRate_Amount_EconomicActivity_GrossDomesticProduction,country/USA GrowthRate_Amount_EconomicActivity_GrossDomesticProduction
1961,-27.2700000039461,2.67711894345372,3.72274253269818,,8.13688771388705,2.29999999999968
1962,-5.579999990136,1.1029096492187,2.93112773666002,3.81801955804475,7.55404640633843,6.10000000000012
1963,10.2999999952758,4.8743839976478,5.99435326095099,2.51674859426929,10.04062131672,4.39999999999992
1964,18.179999994202,5.53365938602349,7.45295012233009,3.90643383740719,-3.10333285516185,5.8000000000003
1965,16.950000002496,2.14217654354569,-2.63577010985357,2.53695353505729,7.83458349782866,6.39999999999976
1966,10.6500000041736,1.57310041405223,-0.0553287698314762,5.02378943881048,10.1795749510333,6.50000000000028
1967,-5.77000000422508,2.78647464167507,7.82596303033039,6.43902441989306,12.5087223791327,2.50000000000003
1968,-4.09999999214142,5.44108343766115,3.38792917600293,5.80109416681351,13.5272227882869,4.79999999999959
1969,16.9399999961093,1.92409683469894,6.53970029627997,7.71681966165517,13.8333365851755,3.09999999999999
1970,19.299999996256,3.77118799966752,5.15722973608288,3.84662985529307,13.9422609967491,-0.322760835616648
1971,7.06000000335179,3.50471750518216,1.64293038388746,1.30690540231171,12.4137550643829,3.29336238703934
1972,3.80999999825444,4.32166761525016,-0.553301312377599,-0.410479918822972,13.3155507183671,5.25889534832913
1973,7.7600000016445,6.52384843843141,3.29552113522355,7.05739893457458,10.6026192622451,5.64571947321326
1974,2.31000000049113,-2.4844040523141,1.18533626034041,3.84583083731744,6.11760435054951,-0.540546529606971
1975,8.72000000047512,-1.47364954200184,9.14991201480568,6.12623316500047,3.9816879915483,-0.205464005057081
1976,-1.57000000275067,2.91026625694681,1.66310363661293,3.33510669021624,7.43717685308528,5.38813922012807
1977,7.56999999917166,2.45775048096047,7.2547645858358,5.100590267645,6.8526996802714,4.62415921177256
1978,11.3259779901995,4.20426042568425,5.71253208900177,5.65383685205222,7.77728765653052,5.53530269624309
1979,7.5913246800003,3.74901664259653,-5.23818270278925,6.40355692521604,9.55417333590545,3.16615026772367
1980,7.83414501593799,-2.03136778090925,6.73582152799834,5.84602651562518,10.1132177836155,-0.256751936461413
1981,5.11276109058912,-0.787743851356353,6.00620362381754,5.69952476907689,10.816137334604,2.53771870053738
1982,9.01711391382203,1.99489121570818,3.47573324031229,4.14149569994117,7.10211483897388,-1.80287445201735
1983,10.7702025065715,4.22185640855157,7.28889290124583,4.81399097113136,8.55459966316172,4.58392730884007
